id,date,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,fighter_age,opponent_age
17,8835,0.0,1.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0,1,3,1,0,0,1825.0,995.3425821332952,1085.075074068559,0,0,1,2,0,0,0,0,0,0,0.0,6.0,-1.0,-1.0,1.0,1,0,1,1,0,0,1825.0,1016.0,984.0,0,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,,
18,8835,0.0,2.25,0.0,-0.25,0.5,1,0,4,2,0,0,1825.0,1012.2927719692866,1063.5687580924214,1,0,1,2,0,0,0,0,0,0,0.0,-3.0,-1.0,-1.0,0.0,0,1,1,0,0,0,1825.0,983.4881622269075,1005.3936281023211,0,0,0,1,0,0,0,0,0,0,win,SUB,1,,
19,8835,0.5,8.0,0.5,0.5,1.0,2,0,2,2,0,0,1825.0,1031.263693206478,984.368153396761,0,1,0,1,0,0,0,0,0,0,0.0,4.0,-0.75,-1.0,0.25,1,0,4,1,1,0,2028.0,975.6429611595685,1025.9320415645102,1,1,1,1,0,0,0,0,0,0,loss,SUB,1,,-2318
20,8835,0.3333333333333333,5.0,0.3333333333333333,0.0,0.6666666666666666,0,1,3,2,0,0,1825.0,1012.7239237643143,987.6396791317514,0,1,0,2,0,0,0,0,0,0,-1.0,-9.0,0.0,-1.0,0.0,0,1,1,0,0,0,1825.0,984.0,1016.0,0,0,0,1,0,0,0,0,0,0,win,SUB,1,,
21,8835,0.5,6.0,0.25,0.25,0.75,1,0,4,3,0,0,1825.0,1027.4041437233548,983.0597043590535,0,1,1,2,0,0,0,0,0,0,0.0,-7.0,-1.0,0.0,0.0,0,1,1,0,0,0,1825.0,984.736306793522,1031.263693206478,0,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,,
22,8835,0.0,0.0,-1.0,-0.5,0.5,0,1,2,1,0,0,1825.0,999.0498101640086,998.1463859846433,1,1,0,0,0,0,0,0,0,0,0.0,-6.0,1.0,1.0,0.0,0,1,1,0,0,0,1825.0,984.0,1016.0,0,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,,
23,8835,0.0,0.0,0.0,-1.0,0.0,0,1,1,0,0,0,1825.0,983.7321298754049,1010.4506007263271,0,0,1,0,0,0,0,0,0,0,0.0,2.8333333333333335,-0.5,-0.3333333333333333,0.5,3,0,6,3,1,0,2028.0,1010.4506007263271,1016.69736998296,1,1,2,2,0,0,0,0,0,0,loss,SUB,1,,-2318
24,9017,0.0,4.0,1.0,-1.0,1.0,1,0,1,1,1,1,1825.0,1016.0,984.0,0,1,0,0,0,0,0,0,0,0,0.5,1.0,-1.0,0.5,0.5,1,0,2,1,1,0,1825.0,1000.736306793522,999.631846603239,1,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,,
25,9017,0.0,4.0,1.0,-1.0,0.0,0,1,1,0,0,0,619.0,990.55152588428,1160.5741760553155,0,0,1,0,0,0,0,0,0,0,0.0,-0.07692307692307693,0.5384615384615384,0.9230769230769231,1.0,13,0,13,13,3,3,1008.0,1160.5741760553155,987.341303765863,1,0,6,6,0,0,0,0,0,0,loss,SUB,1,-727,-1116
26,9017,-1.0,-6.0,1.0,0.0,0.0,0,1,1,0,0,0,1825.0,983.263693206478,1000.736306793522,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,-0.6666666666666666,-1.0,0.6666666666666666,0.3333333333333333,0,1,3,1,2,0,1825.0,985.4387739660466,1010.187075344651,2,1,0,0,0,0,0,0,0,0,loss,KO/TKO,1,,
